gare
Issoudun-Jardin
Issoudun-Place-de-la-G.
Jougne
Juvancourt
Keskastel
Kédange (Eglise)
La Bresse Le Lispach
La Chaise-Dieu
La Ferté-sur-Chiers
La-Bresse (Pl Champtel)
Laissac-Foirail
Langres-Gendarmerie
Laon-Gare-Routière-Poma
Laqueuille
Latour de Carol
Laveline-d-Bruy. Mairie
Le Mont Dore Ski
Le Mont St Michel
Le Tréport-Mers-Les-B
Le-Blanc-Pl-du-Bateau
Le-Breuil-sur-Couze-Lyc
Le-Mont-Dore-Gare
Les Granges-Narboz
Lichtenberg-(Eglise).
Liepvre-(-R.-GUTH-)
Lièpvre-(Rte-Vancelle)
Loches-LEP
Loches-Lycee-St-Denis
Longuyon (Collège)
Loudrefing
Luchon
Luchon-Richelieu
Lugny
Luneville-LP
Lunéville (Cité Scolai)
Luçay-le-Male
Lyon-Part-Dieu-Gare-Rou
Lyon-Perrache-Gare-Rout
Lyon-St-Paul-Quai-Bondy
Lyon-St-Paul-la-Feuilée
Martigny-les-B-Thiebaut
Marvejols Place Chayla
Mauriac
Mauriac-Lycée-Cortat
Mirecourt
Mirecourt (Lycée Agric)
Mondoubleau-Rue-Leroy
Montargis-OT
Montélimar-G-Routière
Morez Lycée
Moyen
Mutzig-Passage-A-Niveau
Neufchateau-Lp
Neuwiller-R.-Bouxwiller
Niedermodern/Uberach
Noirétable
Normandie
Payns Abri Savières
Perl Gare DB
Pfaffenhoffen-(Mairie).
Poitiers-Gare-Routière
Pompadour
Pont-Audemer-Gare-SNCF
Pontgibaud-Ville
Poule-Mairie
Privas-Cours-du-Palais
Quillan
Rambervillers
Rambervillers (
Reignac-Bourg-Du-Fau
Reipertswiller-SP.
Ribeauville-Gare-Routiè
Riom_Es_M_la_Poste.
Riquewihr-Poste
Roanne-Gare-Routière
Romorantin-BA-G.R.
Romorantin-Lycée-de-F
Rouen-Gare-Routière
Routot-Place-de-mairie
Saint-Etienne-Chtx GR
Saint-Léonard Centre
Sancerre-Porte-Cesar
Sarralbe
Sarralbe Centre
Sarre-Union
Sarrebourg (Place Math)
Sarrebourg-Abri-Phalsbo
Sarrebourg-Hôpital
Sarrebourg-LP-Messmer
Saverne-(Ht-Barr)
Saverne-(Lycée-Verne)
Saverne-(Pl.-Dragons)
Sedan-Place-Calonne
Sewen-(Eglise)
St Christophe / Nais C.
St-Aignan-Lep
St-Aignan-Pl-Wilson
St-Eloy
St-Eloy-les-Mines-Lycée
St-Flour-les-Allées
St-George-d'Aurac-Bourg
St-Gervais-Ch-LPA.
St-Gervais-Mairie
St-Jean-de-Bassel-Eglis
St-Louis-
St-Martin-d'Hères
St-Pierre-de-Chandieu-R
St-Sulpice-sur-Lèze
Ste-Croix/Mines-Sq-de-G
Ste-Marie-/-Mines-Maire
Ste-Marie-/-Ms-Pl-.CdG
Ste-Marie/-Ms-(-Théâtre
Sèlestat-(Schwilgué)
Sélestat-(Schweisguth)
TOURS LYCEE GRANDMONT
Ternay-Barbières
Thann Arrêt La Poste
Truyes-Pl-Du-Souvenir
Truyes-St-Blaise
Urcay-Hotel-du-Lyon-d'O
Valence-Gare-Routière
Vezin-Carrefour
Vienne-Gare-Routière
Vierzon-Médiathèque
Ville-sous-La-Ferté
Vire-Centre
Vézelise Beauregard
Wambrechies
arrivee
depart
nan
