depart;arrivee;duree
Gare de Colmar;Gare de Metzeral;43
Gare de Cernay (Haut-Rhin);Sewen-(Eglise);60
Cernay-(Lycée);Sewen-(Eglise);66
Gare de Basel-SBB;Gare de Mulhouse;60
Gare de Ingwiller;Saverne-(Lycée-Verne);64
Frohmuhl- (Lavoir);Saverne-(Ht-Barr);83
Frohmuhl- (Lavoir);Gare de Saverne;58
Frohmuhl- (Lavoir);Saverne-(Lycée-Verne);85
Gare de Saverne;Hattmatt-S.-Polyvalente;20
Hattmatt-S.-Polyvalente;Saverne-(Pl.-Dragons);33
Hattmatt-S.-Polyvalente;Saverne-(Lycée-Verne);42
Hattmatt-S.-Polyvalente;Saverne-(Ht-Barr);43
Gare de Herrlisheim (Bas-Rhin);Gare de Strasbourg;51
Gare de Lauterbourg;Gare de Roeschwoog;30
Gare de Entzheim-Aéroport;Gare de Strasbourg;20
Gare de Barr;Gare de Molsheim;33
Gare de Molsheim;Gare de Strasbourg;40
Gare de Barr;Gare de Strasbourg;89
Gare de Molsheim;Gare de Sélestat;76
Gare de Rothau;Gare de Strasbourg;72
Gare de Saales;Gare de Strasbourg;104
Gare de Altkirch;Gare de Mulhouse;25
Gare de Belfort-Ville;Gare de Mulhouse;77
Gare de Belfort-Ville;Gare de Montreux-Vieux;30
Gare de Sélestat;Ribeauville-Gare-Routiè;20
Gare de Sélestat;Riquewihr-Poste;36
Gare de Sélestat;Ste-Marie-/-Mines-Maire;35
Gare de St-Dié-des-Vosges;Gare de Sélestat;71
Gare de Sélestat;Ste-Marie/-Ms-(-Théâtre;36
Ste-Croix/Mines-Sq-de-G;Sèlestat-(Schwilgué);55
Gare de Sélestat;Ste-Marie-/-Ms-Pl-.CdG;35
Ste-Marie-/-Mines-Maire;Sèlestat-(Schwilgué);64
Liepvre-(-R.-GUTH-);Sèlestat-(Schwilgué);49
Ste-Marie-/-Ms-Pl-.CdG;Sélestat-(Schweisguth);69
Gare de Sélestat;Lièpvre-(Rte-Vancelle);45
Gare de Montluçon-Ville;Gare de Vierzon;125
Laqueuille;Le-Mont-Dore-Gare;24
Gare de Clermont-Ferrand;Gare de Gannat;57
Gare de Gannat;Gare de Riom-Châtel-Guyon;46
Gare de Aurillac;Gare de St-Denis-près-Martel;111
Gare de Aurillac;Gare de Capdenac;88
Gare de Montluçon-Ville;Gare de Vichy;108
Gare de Clermont-Ferrand;Le-Mont-Dore-Gare;84
Gare de Clermont-Ferrand;Saint-Etienne-Chtx GR;156
Gare de Thiers;Saint-Etienne-Chtx GR;118
Gare de Clermont-Ferrand;Gare de Le Puy-en-Velay;184
Gare de Clermont-Ferrand;Gare de Montluçon-Ville;146
Gare de Montluçon-Ville;Gare de Riom-Châtel-Guyon;120
Gare de Arvant;Gare de Aurillac;121
Gare de Moulins-sur-Allier;Gare de Vichy;78
Gare de Clermont-Ferrand;Gare de Thiers;71
Gare de Clermont-Ferrand;Gare de Volvic;39
Ancizes-St-Georges-Bour;Gare de Volvic;39
Gare de Montluçon-Ville;Urcay-Hotel-du-Lyon-d'O;44
Gare de Montluçon-Ville;Gare de St-Amand-Montrond-Orval;59
Gare de Thiers;Gare de Vertaizon;40
Gare de Montluçon-Ville;St-Eloy;40
Gare de Lapeyrouse(Puy-de-Dôme);St-Eloy-les-Mines-Lycée;20
Ancizes-St-Georges-Bour;Gare de Clermont-Ferrand;69
Gare de Clermont-Ferrand;St-Gervais-Mairie;91
Gare de Clermont-Ferrand;Le Mont Dore Ski;98
Gare de Clermont-Ferrand;Gare de Vertaizon;32
Gare de Volvic;St-Eloy;113
Gare de Arvant;St-Flour-les-Allées;50
Gare de Massiac-Blesle;St-Flour-les-Allées;30
Gare de Arvant;Gare de St-Chély-d'Apcher;77
Gare de Clermont-Ferrand;Mauriac-Lycée-Cortat;136
Gare de Lapeyrouse(Puy-de-Dôme);St-Eloy;15
Gare de Clermont-Ferrand;Mauriac;133
Gare de Riom-Châtel-Guyon;St-Gervais-Ch-LPA.;54
Gare de Montluçon-Ville;St-Gervais-Ch-LPA.;60
Gare de Neussargues;Riom_Es_M_la_Poste.;69
Gare de Clermont-Ferrand;St-Flour-les-Allées;93
Gare de Neussargues;Gare de St-Chély-d'Apcher;56
Gare de Neussargues;Gare de St-Flour-Chaudes-Aigues;31
Gare de St-Chély-d'Apcher;St-Flour-les-Allées;30
Gare de Massiac-Blesle;Gare de St-Chély-d'Apcher;49
Gare de Volvic;Pontgibaud-Ville;22
Brioude-Lycée-Lafayette;Gare de Brioude;5
Gare de Langeac;Gare de St-Georges-d'Aurac;10
Gare de Langeac;St-George-d'Aurac-Bourg;12
Gare de Brioude;Gare de Langeac;37
Gare de Brioude;Gare de Le Puy-en-Velay;64
Gare de Langeac;Gare de Le Puy-en-Velay;49
Gare de Le Puy-en-Velay;Gare de St-Georges-d'Aurac;53
Gare de Arvant;Gare de Le Puy-en-Velay;81
Gare de Le Puy-en-Velay;Saint-Etienne-Chtx GR;80
Gare de Le Puy-en-Velay;La Chaise-Dieu;47
Ambert;Gare de Le Puy-en-Velay;107
Ambert;Gare de Vichy;119
Gare de Pont-de-Dore;Gare de Vichy;66
Gare de Ussel;Laqueuille;39
Gare de Arvant;Gare de Issoire;46
Gare de Vic-le-Comte;Issoire-Lycée-Deville;30
Gare de Issoire;Le-Breuil-sur-Couze-Lyc;13
Gare de Brioude;Gare de Issoire;54
Gare de Clermont-Ferrand;Gare de Ussel;100
Gare de Luzy(Nièvre);Gare de Nevers;98
Gare de Cercy-la-Tour;Gare de Nevers;68
Gare de Autun;Gare de Etang;21
Gare de Autun;Gare de Le Creusot;49
Gare de Autun;Gare de Montchanin;62
Gare de Moulins-sur-Allier;Gare de Nevers;68
Gare de Nevers;Gare de St-Pierre-le-Moûtier;33
Gare de Moulins-sur-Allier;Gare de Paray-le-Monial;82
Chauffailles-Gambetta;Gare de Digoin;67
Gare de Digoin;Gare de Lozanne;133
Gare de Louhans;Gare de Seurre;48
Gare de Bourg-en-Bresse;Gare de Seurre;103
Gare de Auxerre-St-Gervais;Gare de Avallon;63
