;Station;City
2748;origny-ste-benoite;origny-sainte-benoite
2749;quincieux;quincieux
2750;schopperten;schopperten
2751;pont-de-briques;isques
2752;la roche-maurice;la roche-maurice
2753;dienville;dienville
2754;villiers-montbarbin;crécy-la-chapelle
2755;la rivière;la rivière-drugeon
2756;xeuilley;xeuilley
2757;st-sulpice;saint-sulpice
2758;hatrize;hatrize
2759;mirecourt;mirecourt
2760;digoin;digoin
2761;la réole;la réole
2762;is-sur-tille;marcilly-sur-tille
2763;prouvy-thiant;prouvy
2764;joigny;joigny
2765;st-pierre-quiberon;saint-pierre-quiberon
2766;valmondois;butry-sur-oise
2767;lachaud-curmilhac;vissac-auteyrac
2768;savonnières;savonnières
2769;colomiers;colomiers
2770;auxerre-st-gervais;auxerre
2771;bengy;bengy-sur-craon
2772;beynost;beynost
2773;briouze;briouze
2774;st-médard-sur-ille;saint-médard-sur-ille
2775;sathonay-rillieux;sathonay-camp
2776;sélestat;selestat
2777;haubourdin;haubourdin
2778;vendôme;vendome
2779;attigny (ardennes);attigny
2780;weyersheim;weyersheim
2781;bollwiller;bollwiller
2782;messempré;pure
2783;ancerville-guë;ancerville
2784;lille-europe;lille
2785;neau;neau
2786;donchery;donchery
2787;carquefou;carquefou
2788;st-aunès;saint-aunès
2789;rethondes;compiegne
2790;mont-sur-meurthe;rehainviller
2791;voujeaucourt;voujeaucourt
2792;st-laurent (jura);saint-laurent-en-grandvaux
2793;miniac;miniac-morvan
2794;saillat-chassenon;saillat-sur-vienne
2795;péreire-levallois;paris
2796;solignac-le vigen;solignac
2797;monts;monts
2798;corbeil-essonnes;corbeil-essonnes
2799;tassin;tassin-la-demi-lune
2800;st-pierre-la-cour;saint-pierre-la-cour
2801;montsoult-maffliers;montsoult
2802;laguépie;laguépie
2803;bas-monistrol;bas-en-basset
2804;lomme (min);lille
2805;siorac-en-périgord;siorac-en-périgord
2806;lutterbach-tram-train;lutterbach
2807;épinal;epinal
2808;modane;modane
2809;retiers;retiers
2810;st-hilaire-au-temple;saint-hilaire-au-temple
2811;nozières-brignon;boucoiran-et-nozières
2812;st-germain-st-rémy;saint-germain-sur-avre
2813;le grand-lemps;le grand-lemps
2814;épinay-sur-orge;epinay-sur-orge
2815;espira-de-l'agly;espira-de-l'agly
2816;cordemais;cordemais
2817;clères;clères
2818;melun;melun
2819;brélidy-plouëc;plouëc-du-trieux
2820;l'isle-d'abeau;isle-d'abeau (l')
2821;tarascon;tarascon
2822;aytré;aytré
2823;virieu-sur-bourbre;panissage
2824;champs-st-bris;champs-sur-yonne
2825;prémery;prémery
2826;étigny-véron;étigny
2827;mouchard;mouchard
2828;freinville-sevran;sevran
2829;la fouillouse;la fouillouse
2830;haguenau;haguenau
2831;sucé-sur-erdre;sucé-sur-erdre
2832;esbly;esbly
2833;fécamp;fecamp
2834;st-fons;saint-fons
2835;st-hilaire-de-chaléons;saint-hilaire-de-chaléons
2836;jardres;jardres
2837;leucate-la-franqui;leucate
2838;noisy-le-roi;noisy-le-roi
2839;givors-canal;givors
2840;elbeuf-ville;elbeuf
2841;st-mammès;saint-mammès
2842;st-julien-en-genevois;saint-julien-en-genevois
2843;corgoloin;corgoloin
2844;sèvres-rive-gauche;sevres
2845;montchanin;montchanin
2846;fouquereuil;fouquereuil
2847;buire-sur-l'ancre;buire-sur-l'ancre
2848;maurs;maurs
2849;vénissieux;venissieux
2850;st-louis-les-aygalades;marseille
2851;l'ariane;trinite (la )
2852;montauban-ville-bourbon;montauban
2853;verzeille;leuc
2854;crest;crest
2855;moulins-sur-yèvre;moulins-sur-yèvre
2856;cuinchy;cuinchy
2857;st-nom-la-bretêche-forêt-de-marly;l'étang-la-ville
2858;villeherviers;villeherviers
2859;schweighouse-sur-moder;schweighouse-sur-moder
2860;avignon-fontcouverte;avignon
2861;vosves;dammarie-les-lys
2862;seugy;seugy
2863;garnay;garnay
2864;besançon-viotte;besancon
2865;labergement-ste-marie;labergement-sainte-marie
2866;magenta;paris
2867;angerville;angerville
2868;ste-pazanne;sainte-pazanne
2869;airvault-gare;airvault
2870;les vallées;colombes
2871;st-aubin-du-vieil-évreux;le vieil-évreux
2872;douai;douai
2873;audruicq;audruicq
2874;marignier;marignier
2875;ossès-st-martin-d'arrossa;saint-martin-d'arrossa
2876;chaville-rive-gauche;chaville
2877;fleurville-pont-de-vaux;fleurville
2878;nice-riquier;nice
2879;cheilly-lès-maranges;cheilly-lès-maranges
2880;parsac-gouzon;parsac
2881;chaulnes;chaulnes
2882;puybrun;puybrun
2883;paris-st-lazare;paris
2884;villars-les-dombes;villars-les-dombes
2885;écouflant;écouflant
2886;crissé;crissé
2887;la bastide-st-laurent-les-bains;la bastide-puylaurent
2888;nurieux;nurieux-volognat
2889;carcassonne;carcassonne
2890;belleville;belleville
2891;carantilly-marigny;carantilly
2892;roubaix-wattrelos;roubaix
2893;roubaix-wattrelos;roubaix
2894;avrechy;avrechy
2895;st-julien-écuisses;saint-julien-sur-dheune
2896;rouffach;rouffach
2897;st-louis-la-chaussée;saint-louis
2898;villenave-d'ornon;villenave-d'ornon
2899;lasserre;moncrabeau
2900;dardilly-le-jubin;dardilly
2901;chagny;chagny
2902;nîmes;nimes
2903;villepreux-les-clayes;clayes-sous-bois (les)
2904;versailles-chantiers;versailles
2905;ménil-flin;flin
2906;réaumont-st-cassien;saint-cassien
2907;elne;elne
2908;st-léonard-de-noblat;saint-léonard-de-noblat
2909;vic-sur-cère;vic-sur-cère
2910;st-sébastien;saint-sébastien
2911;vernouillet-verneuil;verneuil-sur-seine
2912;luant;luant
2913;st-martin-du-vivier;saint-martin-du-vivier
2914;massy-verrières;massy
2915;guillerval;guillerval
2916;die;die
2917;la barre-ormesson;deuil-la-barre
2918;combourg;combourg
2919;mâcon-port-fluvial;macon
2920;granville;granville
2921;sèvres-ville-d'avray;sevres
2922;vernaison;vernaison
2923;sous-le-bois;maubeuge
2924;le stade;colombes
2925;lomme;lille
2926;vrigne-meuse;vrigne-meuse
2927;paray-le-monial;paray-le-monial
2928;guimiliau;guimiliau
2929;bonnières;bonnières-sur-seine
2930;mont-de-terre;lille
2931;colmar-st-joseph;colmar
2932;varangéville-st-nicolas;varangéville
2933;stephansfeld;brumath
2934;hellemmes;lille
2935;nérac;nérac
2936;rivarennes;rivarennes
2937;rungis (min);rungis
2938;rothau;rothau
2939;rodez;rodez
2940;aubigny-en-artois;aubigny-en-artois
2941;cormeilles-en-parisis;cormeilles-en-parisis
2942;les eyzies;les eyzies-de-tayac-sireuil
2943;port-sec-de-pacy;pacy-sur-armançon
2944;st-seurin-sur-l'isle;saint-seurin-sur-l'isle
2945;le cellier;le cellier
2946;st-avold;valmont
2947;houilles-carrières-sur-seine;houilles
2948;mommenheim;mommenheim
2949;cysoing;cysoing
2950;calais-fréthun;fréthun
2951;domblans-voiteur;domblans
2952;nantes;nantes
2953;mauzé;mauzé-sur-le-mignon
2954;tonneins;tonneins
2955;tullins-fures;tullins
2956;achères-grand-cormier;saint-germain-en-laye
2957;joigny-sur-meuse;joigny-sur-meuse
2958;herblay;herblay
2959;massiac;massiac
2960;richwiller;richwiller
2961;xertigny;xertigny
2962;st-sébastien-pas-enchantés;saint-sebastien-sur-loire
2963;marlieux-châtillon;marlieux
2964;chaponost;chaponost
2965;meulan-hardricourt;hardricourt
2966;hochfelden;hochfelden
2967;chambéry-challes-les-eaux;chambery
2968;commentry;commentry
2969;argentan;argentan
2970;colomiers-lycée-international;colomiers
2971;bas-évette;évette-salbert
2972;rochy-condé;rochy-condé
2973;plaisir-les clayes;plaisir
2974;lyon-part-dieu;lyon
2975;èze;èze
2976;buno-gironville;buno-bonnevaux
2977;pont-d'ain;pont-d'ain
2978;attin-garage;attin
2979;st-michel-notre-dame;paris
2980;gundershoffen;gundershoffen
2981;estissac;estissac
2982;pierre-buffière;pierre-buffière
2983;gragnague;gragnague
2984;mortcerf;mortcerf
2985;onville;onville
2986;beynes;beynes
2987;dijon-porte-neuve;dijon
2988;neuville-sur-saône;neuville-sur-saône
2989;bellenaves;bellenaves
2990;hoenheim-tram;hoenheim
2991;ermont-eaubonne;ermont
2992;diemeringen;diemeringen
2993;lunéville;luneville
2994;archignat;archignat
2995;veynes-dévoluy;veynes
2996;haybes;haybes
2997;amboise;amboise
2998;miserey-salines;miserey-salines
2999;lexos;varen
3000;laissey;laissey
3001;villers-st-sépulcre;villers-saint-sépulcre
3002;châteauneuf-sur-charente;châteauneuf-sur-charente
3003;châteauroux;chateauroux
3004;vireux-molhain;vireux-molhain
3005;forbach;forbach
3006;pontgibaud;pontgibaud
3007;voutré;voutré
3008;cassis;cassis
3009;boulouris-sur-mer;saint-raphael
3010;grésy-sur-aix;grésy-sur-aix
3011;harfleur;harfleur
3012;beaucaire-marchandises;beaucaire
3013;villiers-st-georges;villiers-saint-georges
3014;st-vincent-de-tyrosse;saint-vincent-de-tyrosse
3015;saujon;saujon
3016;ingrandes-sur-vienne;ingrandes
3017;st-leu-la-forêt;saint-leu-la-foret
3018;parthenay;parthenay
3019;vierzy;vierzy
3020;st-vincent-le-château;saint-vincent
3021;felletin;felletin
3022;villeneuve-sur-allier;villeneuve-sur-allier
3023;l'isthme;saint-pierre-quiberon
3024;froncles;froncles
3025;luc-en-diois;luc-en-diois
3026;nortkerque;nortkerque
3027;chavenon;chavenon
3028;menton-garavan;menton
3029;st-paul-de-fenouillet;saint-paul-de-fenouillet
3030;roanne;roanne
3031;simandre-sur-suran;simandre-sur-suran
3032;sillery;sillery
3033;is-sur-tille;marcilly-sur-tille
3034;montrond-les-bains;montrond-les-bains
3035;guérigny;guérigny
3036;wizernes;wizernes
3037;boulainvilliers;paris
3038;mont-notre-dame;mont-notre-dame
3039;rochefort;rochefort
3040;vitry-le-françois;vitry-le-francois
3041;gien;gien
3042;gisors;gisors
3043;serqueux;serqueux
3044;pont-d'ardres;ardres
3045;ruffey;ruffey-lès-echirey
3046;clion-sur-indre;clion
3047;tamnay-châtillon;tamnay-en-bazois
3048;marseille-st-charles;marseille
3049;pommevic;pommevic
3050;st-pierre-des-corps;saint-pierre-des-corps
3051;dugny;dugny-sur-meuse
3052;epfig;epfig
3053;mouzon;mouzon
3054;l'hôpital-du-grosbois;l'hôpital-du-grosbois
3055;halsou-larressore;halsou
3056;volvic;volvic
3057;rozières-sur-mouzon;rozières-sur-mouzon
3058;feuquerolles;feuquières-en-vimeu
3059;roeux;roeux
3060;flez-cuzy-tannay;tannay
3061;aimargues;aimargues
3062;eurville-bienville;eurville-bienville
3063;cercottes;cercottes
3064;bois-d'oingt-légny;légny
3065;l'estaque;marseille
3066;laval;laval
3067;bourganeuf;bourganeuf
3068;merrey;merrey
3069;fépin;fépin
3070;miraumont;miraumont
3071;arnèke;arnèke
3072;loudéac;loudéac
3073;dirinon loperhet;loperhet
3074;triel-sur-seine;triel-sur-seine
3075;vierzon-forges;vierzon
3076;st-léon-sur-l'isle;saint-léon-sur-l'isle
3077;objat;objat
3078;arleux;arleux
3079;champagne-ardenne-tgv;bezannes
3080;caudiès;caudiès-de-fenouillèdes
3081;chabenet;le pont-chrétien-chabenet
3082;haussmann-st-lazare;paris
3083;soulac-sur-mer;soulac-sur-mer
3084;le theil-de-bretagne;le theil-de-bretagne
3085;cap-d'ail;cap-d'ail
3086;jussey;jussey
3087;moosch;moosch
3088;krimmeri-meinau;strasbourg
3089;vergèze-codognan;vergèze
3090;walbach;wintzenheim
3091;obernai;obernai
3092;vermenton;vermenton
3093;luttenbach-près-munster;luttenbach-près-munster
3094;la mothe-achard;la mothe-achard
3095;comines;comines
3096;bordeaux-bastide;bordeaux
3097;la bonneville-sur-iton;la bonneville-sur-iton
3098;vannes;vannes
3099;beaucaire-marchandises;beaucaire
3100;mauves-sur-loire;mauves-sur-loire
3101;laillé;guichen
3102;longpont;longpont
3103;landivisiau;landivisiau
3104;dercy-mortiers;mortiers
3105;arras;arras
3106;st-chéron;saint-chéron
3107;baillargues;baillargues
3108;lépanges;lépanges-sur-vologne
3109;woincourt;woincourt
3110;le coteau;le coteau
3111;moulin-neuf (oise);chambly
3112;florensac;saint-thibéry
3113;st-denis;saint-denis
3114;étalans;étalans
3115;bretteville-norrey;saint-manvieu-norrey
3116;dercy-froidmont;dercy
3117;trois-puits;trois-puits
3118;malansac;malansac
3119;conflans-jarny;jarny
3120;le boucau;boucau
3121;lingolsheim;lingolsheim
3122;serquigny;serquigny
3123;reuilly;reuilly
3124;la clayette-baudemont;baudemont
3125;mauzac;mauzac-et-grand-castang
3126;messein;messein
3127;la barque-fuveau;fuveau
3128;pierrefite-stains tt;pierrefitte-sur-seine
3129;nomain-ouvignies;nomain
3130;ste-colombe-sur-seine;sainte-colombe-sur-seine
3131;châteauneuf-sur-cher;châteauneuf-sur-cher
3132;capvern;capvern
3133;darsac;vernassal
3134;landaul-mendon;landaul
3135;belloy-st-martin;belloy-en-france
3136;aiguillon;aiguillon
3137;andelot;andelot-en-montagne
3138;champ-de-mars-tour-eiffel;paris
3139;gertwiller;gertwiller
3140;wisches;wisches
3141;caen;caen
3142;mailly-le-camp;mailly-le-camp
3143;st-ouen-l'aumône;saint-ouen-l'aumone
3144;lyon-jean-macé;lyon
3145;dégagnac;dégagnac
3146;la tricherie;beaumont
3147;urmatt;urmatt
3148;st-médard-de-guizières;saint-médard-de-guizières
3149;nançois-tronville;nançois-sur-ornain
3150;bussy-lettrée-vatry;bussy-lettrée
3151;ychoux;ychoux
3152;lamothe-landerron;lamothe-landerron
3153;st-marcel;marseille
3154;couilly-st-germain;saint-germain-sur-morin
3155;sains-du-nord;sains-du-nord
3156;varennes-sur-allier;varennes-sur-allier
3157;cintegabelle;cintegabelle
3158;revin;revin
3159;écouché;écouché
3160;hettange-grande;hettange-grande
3161;st-dié-des-vosges;saint-die
3162;biarritz;biarritz
3163;montargis;montargis
3164;amilly-ouerray;amilly
3165;albi;albi
3166;gauriaguet;gauriaguet
3167;l'estaque;marseille
3168;st-valéry-en-caux;saint-valery-en-caux
3169;villefranque;villefranque
3170;neuillé-pont-pierre;neuillé-pont-pierre
3171;castelnaudary;castelnaudary
3172;fère-champenoise;fère-champenoise
3173;roncq;roncq
3174;st-priest;saint-priest
3175;montlaur;montlaur
3176;valenton;valenton
3177;st-aigulin-la roche-chalais;saint-aigulin
3178;chamonix-mont-blanc;chamonix-mont-blanc
3179;morcenx;morcenx
3180;la chapelle-d'ambès;ambès
3181;vieux-thann;vieux-thann
3182;roppenheim;roppenheim
3183;arnage;arnage
3184;lunery;lunery
3185;chabanais;chabanais
3186;langeais;langeais
3187;châteauneuf-bujaleuf;neuvic-entier
3188;soissons;soissons
3189;beuzeville (eure);beuzeville
3190;malaunay-le houlme;le houlme
3191;la chapelle-aulnay;chapelle-sur-erdre (la )
3192;dangé;dangé-saint-romain
3193;bordeaux-st-jean;bordeaux
3194;ossès-st-martin-d'arrossa;saint-martin-d'arrossa
3195;lamanon;lamanon
3196;aubiet;aubiet
3197;pont-l'évêque;pont-l'évêque
3198;fresnoy-le-grand;fresnoy-le-grand
3199;baigts-de-béarn;baigts-de-béarn
3200;aillevillers;corbenay
3201;couze;lalinde
3202;glos-montfort;glos-sur-risle
3203;l'isle-fontaine-de-vaucluse;isle-sur-la-sorgue (l' )
3204;paris-gare-de-lyon;paris
3205;st-gildas-des-bois;saint-gildas-des-bois
3206;coudray-montceaux;le coudray-montceaux
3207;staffelfelden;staffelfelden
3208;armentières;armentieres
3209;cosne-sur-loire;cosne-cours-sur-loire
3210;bayonne;bayonne
3211;flavy-le-martel;flavy-le-martel
3212;morbier;morbier
3213;st-hilaire;saint-hilaire-sur-helpe
3214;haguenau;haguenau
3215;st-jean-pla-de-corts;saint-jean-pla-de-corts
3216;gresswiller;gresswiller
3217;tricot;tricot
3218;l'argentière-les-écrins;l'argentière-la-bessée
3219;arcis-sur-aube;villette-sur-aube
3220;pontarlier;pontarlier
3221;lure;lure
3222;sens;sens
3223;bouvines;cysoing
3224;lavaur;lavaur
3225;lagny-thorigny;thorigny-sur-marne
3226;franois;franois
3227;bueil;bueil
3228;ponthierry-pringy;saint-fargeau-ponthierry
3229;villefort;villefort
3230;coat-guégan;pont-melvez
3231;st-fargeau;saint-fargeau-ponthierry
3232;marly-le-roi;marly-le-roi
3233;vivonne;vivonne
3234;dannes-camiers;camiers
3235;saumur;saumur
3236;landrecies;landrecies
3237;lacourtensourt;toulouse
3238;st-clément-laronxe;saint-clément
3239;sisteron;sisteron
3240;le quesnoy;le quesnoy
3241;koenigsmacker;koenigsmacker
3242;lille chr;lille
3243;st-étienne-du-rouvray;saint-etienne-du-rouvray
3244;lavoûte-sur-loire;lavoûte-sur-loire
3245;chaville-rive-droite;chaville
3246;loivre;loivre
3247;vauzelles;varennes-vauzelles
3248;vaulry;vaulry
3249;fourchambault;fourchambault
3250;grenade-sur-l'adour;grenade-sur-l'adour
3251;st-mathurin;saint-mathurin-sur-loire
3252;sérézin;sérézin-du-rhône
3253;seclin;seclin
3254;villiers-le-bel-gonesse-arnouville;arnouville-les-gonesse
3255;lyon-perrache;lyon
3256;ondres;ondres
3257;hagondange;hagondange
3258;grésy-sur-isère;grésy-sur-isère
3259;paris-st-lazare;paris
3260;montoire-sur-le-loir;montoire-sur-le-loir
3261;erdre-active;chapelle-sur-erdre (la )
3262;pagny-sur-moselle;pagny-sur-moselle
3263;angoulins-sur-mer;angoulins
3264;libercourt;libercourt
3265;mantes-la-jolie;mantes-la-ville
3266;nemours-st-pierre;saint-pierre-lès-nemours
3267;notre-dame-de-briançon;la léchère
3268;habsheim;habsheim
3269;la varenne-chennevières;saint-maur-des-fosses
3270;la baule-escoublac;baule-escoublac (la )
3271;brumath;brumath
3272;barsac;barsac
3273;biache-st-vaast;biache-saint-vaast
3274;chapeauroux;saint-bonnet-de-montauroux
3275;vénerque-le-vernet;vernet
3276;bassens;bassens
3277;gunsbach-griesbach;griesbach-au-val
3278;mer;mer
3279;escaudoeuvres;escaudoeuvres
3280;ris-orangis;ris-orangis
3281;st-genouph;saint-genouph
3282;cruas;cruas
3283;ossun;ossun
3284;pignans;pignans
3285;chasseneuil-sur-bonnieure;chasseneuil-sur-bonnieure
3286;roeschwoog;roeschwoog
3287;st-andré-de-cubzac;saint-andré-de-cubzac
3288;mantes-la-jolie;mantes-la-jolie
3289;brunoy;brunoy
3290;reichstett;reichstett
3291;athis-mons;athis-mons
3292;le trayas;saint-raphael
3293;la ménitré;la ménitré
3294;ronchin;ronchin
3295;longué;longué-jumelles
3296;chinon;chinon
3297;charmont;charmont-sous-barbuise
3298;le grau-du-roi;le grau-du-roi
3299;saales;saales
3300;roumazières-loubert;roumazières-loubert
3301;lucé;luce
3302;val-de-reuil;val-de-reuil
3303;gazeran;gazeran
3304;saintes;saintes
3305;louvres;louvres
3306;labarthe-avezac;avezac-prat-lahitte
3307;breuillet-bruyères-le-châtel;breuillet
3308;viry-châtillon;viry-chatillon
3309;beaune;beaune
3310;fère-champenoise;fère-champenoise
3311;égly;égly
3312;ambérieu;amberieu-en-bugey
3313;magalas;magalas
3314;rezé-pont-rousseau;reze
3315;arc-et-senans;arc-et-senans
3316;hargicourt-pierrepont;hargicourt
3317;ascq;villeneuve-d'ascq
3318;rives;rives
3319;pougues-les-eaux;pougues-les-eaux
3320;cannes;cannes
3321;sedan;sedan
3322;laluque;laluque
3323;taconnaz;les houches
3324;st-pol-de-léon;saint-pol-de-léon
3325;acheux-franleu;chépy
3326;aguilcourt-variscourt;aguilcourt
3327;thézy-glimont;thézy-glimont
3328;corrèze;saint-priest-de-gimel
3329;l'aigle;aigle (l')
3330;st-sulpice-laurière;saint-sulpice-laurière
3331;st-hilaire-de-chaléons;saint-hilaire-de-chaléons
3332;montfort-l'amaury-mère;méré
3333;colmar;colmar
3334;st-roch (somme);amiens
3335;st-yorre;saint-yorre
3336;harfleur-halte;harfleur
3337;longueville-sur-scie;longueville-sur-scie
3338;marles-en-brie;la houssaye-en-brie
3339;cérons;cérons
3340;fegersheim-lipsheim;lipsheim
3341;houlgate;houlgate
3342;villefranche-de-lauragais;villefranche-de-lauragais
3343;valençay;valençay
3344;tourcoing;tourcoing
3345;gerzat;gerzat
3346;villiers-neauphle-pontchartrain;villiers-saint-fréderic
3347;ste-maure-noyant;noyant-de-touraine
3348;bolbec-nointot;bolbec
3349;péronne-la-chapelette;péronne
3350;lathus;lathus-saint-rémy
3351;château-du-loir;château-du-loir
3352;thédirac-peyrilles;peyrilles
3353;castres;castres
3354;st-andré-le-gaz;saint-andré-le-gaz
3355;sierck-les-bains;sierck-les-bains
3356;st-varent;saint-varent
3357;veuxhaulles;veuxhaulles-sur-aube
3358;gondrecourt-le-château;gondrecourt-le-château
3359;mazingarbe;mazingarbe
3360;pont-remy;pont-remy
3361;montabard;montabard
3362;balagny-st-épin;balagny-sur-thérain
3363;neuvic;neuvic
3364;ranspach;ranspach
3365;bantzenheim;bantzenheim
3366;porté-puymorens;porta
3367;maisons-laffitte;maisons-laffitte
3368;donjeux;donjeux
3369;lamotte-breuil;trosly-breuil
3370;chaulnes;chaulnes
3371;véretz-montlouis;montlouis-sur-loire
3372;tournay;tournay
3373;benfeld;benfeld
3374;albigny-neuville;albigny-sur-saône
3375;montluçon-rimard;montlucon
3376;courcay-tauxigny;courçay
3377;lannion;lannion
3378;steenbecque;steenbecque
3379;auch;auch
3380;st-saturnin-d'avignon;saint-saturnin-lès-avignon
3381;le rouget;le rouget
3382;duppigheim;duppigheim
3383;beauvoisin;beauvoisin
3384;verneuil-sur-serre;verneuil-sur-serre
3385;bidos;bidos
3386;montbartier;montbartier
3387;chenevières;chenevières
3388;la hisse;saint-samson-sur-rance
3389;croix-sainte;martigues
3390;pouzauges;la meilleraie-tillay
3391;belvès;belvès
3392;aytré-plage;aytré
3393;maillé;maillé
3394;roquefort (landes);roquefort
3395;haubourdin;haubourdin
3396;suippes;suippes
3397;florange;florange
3398;frévin-capelle;frévin-capelle
3399;courtalain-st-pellerin;saint-pellerin
3400;ors;ors
3401;cazères-sur-garonne;cazères
3402;nézel-aulnay;nézel
3403;arcachon;arcachon
3404;jatxou;ustaritz
3405;chemin-peseux;peseux
3406;tarbes;tarbes
3407;lannemezan;lannemezan
3408;le pouzin;le pouzin
3409;einvaux;einvaux
3410;port-d'atelier-amance;faverney
3411;laigné-st-gervais;saint-gervais-en-belin
3412;oyonnax;oyonnax
3413;wilwisheim;wilwisheim
3414;port-édouard-herriot;lyon
3415;messac-guipry;messac
3416;macau;macau
3417;lavilletertre;lavilletertre
3418;albias;albias
3419;obermodern;obermodern-zutzendorf
3420;chalandray;chalandray
3421;fréteval-morée;fréteval
3422;pontchaillou;rennes
3423;st-denis-jargeau;saint-denis-de-l'hôtel
3424;gien;gien
3425;aubigny-au-bac;aubigny-au-bac
3426;huriel;huriel
3427;grandvilliers;grandvilliers
3428;neuville-université;neuville-sur-oise
3429;croix-l'allumette;croix
3430;clonas;clonas-sur-varèze
3431;plancoët;plancoët
3432;bourron-marlotte-grez;bourron-marlotte
3433;pontoise;pontoise
3434;castelsarrasin;castelsarrasin
3435;le genest;le genest-saint-isle
3436;montereau;montereau-fault-yonne
3437;loire;loire-sur-rhône
3438;redon;redon
3439;st-geours;saint-geours-de-maremne
3440;sarcelles-st-brice;saint-brice-sous-foret
3441;ciry-le-noble;ciry-le-noble
3442;montereau;varennes-sur-seine
3443;issy;issy-les-moulineaux
3444;bitschwiller (haut-rhin);bitschwiller-lès-thann
3445;villeneuve-loubet-plage;villeneuve-loubet
3446;walbourg;walbourg
3447;bains-les-bains;le clerjus
3448;thann-st-jacques;thann
3449;diarville;diarville
3450;noyon;noyon
3451;montbazon;montbazon
3452;les mureaux;mureaux (les)
3453;mandelieu-la-napoule;mandelieu-la-napoule
3454;port-ste-marie;port-sainte-marie
3455;gannes;gannes
3456;mâcon-loché-tgv;macon
3457;mézidon;mézidon-canon
3458;belleville-vendée;belleville-sur-vie
3459;héricourt;hericourt
3460;vandières;vandières
3461;longpré-les-corps-saints;longpré-les-corps-saints
3462;surdon;le château-d'almenêches
3463;gilley;gilley
3464;château-thierry;étampes-sur-marne
3465;verrey;verrey-sous-salmaise
3466;ste-bazeille;sainte-bazeille
3467;cantin;cantin
3468;pauillac;pauillac
3469;lecelles;lecelles
3470;baud;languidic
3471;athis-mons;athis-mons
3472;lozanne;lozanne
3473;trentels-ladignac;trentels
3474;lyon-vaise;lyon
3475;angoulême;angouleme
3476;sarreguemines;sarreguemines
3477;strasbourg-ville;strasbourg
3478;mionnay;mionnay
3479;bretigny-norges;bretigny
3480;boran-sur-oise;boran-sur-oise
3481;arles;arles
3482;cavaillon (min);cavaillon
3483;montréjeau-gourdan-polignan;gourdan-polignan
3484;st-hilaire-de-riez;saint-hilaire-de-riez
3485;bricon;bricon
3486;réhon;réhon
3487;niederbronn-les-bains;niederbronn-les-bains
3488;thenon;thenon
3489;dammartin-juilly-st-mard;saint-mard
3490;tassin;tassin-la-demi-lune
3491;breteuil-embranchement;bacouël
3492;penthièvre;saint-pierre-quiberon
3493;les fontinettes;calais
3494;terrasson;terrasson-lailledieu
3495;appilly;appilly
3496;lestrem;lestrem
3497;st-pierre-du-vauvray;saint-pierre-du-vauvray
3498;st-mars-la-brière;saint-mars-la-brière
3499;hachette;locquignol
3500;motteville;motteville
3501;bénestroff;bénestroff
3502;meymac;meymac
3503;fouilloy;fouilloy
3504;coursan;coursan
3505;valence-tgv;alixan
3506;bar-le-duc;bar-le-duc
3507;plénée-jugon;plénée-jugon
3508;nerpuy;naintré
3509;peyrehorade;peyrehorade
3510;blangy-sur-ternoise;blangy-sur-ternoise
3511;oermingen;oermingen
3512;la chapelle-sur-loire;la chapelle-sur-loire
3513;st-ay;saint-ay
3514;fontan-saorge;fontan
3515;strasbourg-roethig;lingolsheim
3516;blaisy-bas;blaisy-bas
3517;bassens-appontements;bassens
3518;le douhet-écoyeux;le douhet
3519;lison;sainte-marguerite-d'elle
3520;bohain;bohain-en-vermandois
3521;montereau;varennes-sur-seine
3522;villennes-sur-seine;villennes-sur-seine
3523;voiron;voiron
3524;sury-le-comtal;sury-le-comtal
3525;savy-berlette;savy-berlette
3526;rang-du-fliers-verton;rang-du-fliers
3527;livry-sur-seine;livry-sur-seine
3528;dompierre-sept-fons;dompierre-sur-besbre
3529;petit-vaux;epinay-sur-orge
3530;mothern;mothern
3531;aubrives;aubrives
3532;montivilliers;montivilliers
3533;watten-éperlecques;éperlecques
3534;collioure;collioure
3535;donzère;donzère
3536;dijon-ville;dijon
3537;bonneval;bonneval
3538;grasse;grasse
3539;nice-pont-michel;nice
3540;genlis;genlis
3541;le valdahon;valdahon
3542;la celle-corrèze;lacelle
3543;tarascon;tarascon
3544;épernon;épernon
3545;albens;albens
3546;tergnier;tergnier
3547;abancourt;abancourt
3548;hoerdt;hoerdt
3549;amifontaine;amifontaine
3550;gardanne;gardanne
3551;vendôme;vendome
3552;cavaillon;cavaillon
3553;st-omer-en-chaussée;saint-omer-en-chaussée
3554;neuves-maisons;neuves-maisons
3555;wingen-sur-moder;wingen-sur-moder
3556;égletons;égletons
3557;aigueperse;aigueperse
3558;badan;grigny
3559;peyrilhac-st-jouvent;peyrilhac
3560;puget-ville;puget-ville
3561;nuits-sous-ravières;nuits
3562;aubusson;aubusson
3563;podensac;podensac
3564;connantre;connantre
3565;st-gervais-les-bains-le fayet;saint-gervais-les-bains
3566;rosporden;rosporden
3567;argenteuil;argenteuil
3568;cerbère;cerbère
3569;douzillac;douzillac
3570;bourg-en-bresse;bourg-en-bresse
3571;pont-de-dore;peschadoires
3572;cavignac;cavignac
3573;st-martin-d'étampes;etampes
3574;sanry-sur-nied;sanry-sur-nied
3575;cassel;oxelaëre
3576;neufchâteau;neufchâteau
3577;maisse;maisse
