;Station;City
1495;tincques;tincques
1496;scherwiller;scherwiller
1497;moult-argences;moult
1498;langeac;langeac
1499;celon;celon
1500;la garenne-colombes;colombes
1501;paris-montparnasse;paris
1502;ham;muille-villette
1503;la grande-paroisse;la grande-paroisse
1504;le méridien;charbonnières-les-bains
1505;la jarrie;la jarrie
1506;pierrelaye;pierrelaye
1507;étang;étang-sur-arroux
1508;le raincy-villemomble-montfermeil;raincy (le )
1509;vitrolles-aéroport-marseille-provence;vitrolles
1510;gournay-ferrières;ferrières-en-bray
1511;héricy;héricy
1512;gestel;gestel
1513;le grand-jardin;lisieux
1514;verneuil-sur-vienne;verneuil-sur-vienne
1515;wissous;wissous
1516;roubaix;roubaix
1517;chanac;esclanèdes
1518;reims-st-léonard;saint-léonard
1519;estrées-st-denis;estrées-saint-denis
1520;fontainebleau-avon;avon
1521;ceintrey;ceintrey
1522;pithiviers;pithiviers
1523;chamelet;chamelet
1524;ur-les-escaldes;ur
1525;trappes;trappes
1526;la borne-blanche;orry-la-ville
1527;beau-marais;calais
1528;feyzin;feyzin
1529;carignan;carignan
1530;mamirolle;mamirolle
1531;lézignan (aude);lezignan-corbieres
1532;brebières-sud;brebières
1533;calonne-ricouart;calonne-ricouart
1534;port-de-piles;la celle-saint-avant
1535;la villette-st-prest;saint-prest
1536;le muy;le muy
1537;donges;donges
1538;lutterbach (haut-rhin);lutterbach
1539;courcelles-le-comte;hamelincourt
1540;gièvres;gièvres
1541;bessancourt;bessancourt
1542;sillé-le-guillaume;saint-rémy-de-sillé
1543;clamecy;clamecy
1544;pont-du-château (fret);pont-du-château
1545;lyon-perrache;lyon
1546;plouigneau;plouigneau
1547;la pomme;marseille
1548;vanves-malakoff;vanves
1549;bolquère-eyne;bolquère
1550;clichy-levallois;levallois-perret
1551;villefranche-sur-saône;villefranche-sur-saone
1552;lafarge;saint-hilaire-les-places
1553;morre;morre
1554;couzon-au-mont-d'or;couzon-au-mont-d'or
1555;cusset;cusset
1556;lalande-église;toulouse
1557;les sables-d'olonne;sables-d'olonne (les)
1558;metz-devant-les-ponts;metz
1559;broons;broons
1560;ivry-sur-seine;ivry-sur-seine
1561;longuyon;longuyon
1562;le val-d'or;saint-cloud
1563;bretoncelles;bretoncelles
1564;crépy-en-valois;crepy-en-valois
1565;les laumes-alésia;venarey-les-laumes
1566;maizières-lès-metz;maizieres-les-metz
1567;farbus;farbus
1568;étréchy;étréchy
1569;gan;gan
1570;st-georges-de-luzençon;saint-georges-de-luzençon
1571;st-jodard;saint-jodard
1572;beautiran;beautiran
1573;pont-melvez;pont-melvez
1574;la boissière;concarneau
1575;olonne-sur-mer;olonne-sur-mer
1576;la suze;la suze-sur-sarthe
1577;mareil-sur-mauldre;mareil-sur-mauldre
1578;avenue-du-président-kennedy-radio-france;paris
1579;st-maur-sur-indre;saint-maur
1580;luçay-le-mâle;luçay-le-mâle
1581;isbergues;isbergues
1582;allenc;allenc
1583;avallon;avallon
1584;saubusse-les-bains;saubusse
1585;bavay;bavay
1586;beauvais;beauvais
1587;st-denis-près-martel;saint-denis-lès-martel
1588;pagny-sur-meuse;pagny-sur-meuse
1589;lisle-sur-tarn;lisle-sur-tarn
1590;exideuil-sur-vienne;exideuil
1591;st-andré;lambersart
1592;juvisy;juvisy-sur-orge
1593;st-claude;saint-claude
1594;carpentras;carpentras
1595;montaigut;montaigut-le-blanc
1596;thaon;thaon-les-vosges
1597;casino-lacroix-laval;marcy-l'étoile
1598;berthelming;berthelming
1599;martigues;martigues
1600;patay;patay
1601;châtillon-sur-indre;châtillon-sur-indre
1602;nice-st-roch;nice
1603;barentin-embranchement;barentin
1604;rumilly;rumilly
1605;limoges-puy-imbert;limoges
1606;troyes;saint-julien-les-villas
1607;les bardys;saint-priest-taurion
1608;sathonay-rillieux;rillieux-la-pape
1609;strasbourg-cronenbourg;strasbourg
1610;lens;avion
1611;la voulte-sur-rhône;la voulte-sur-rhône
1612;fos-viguerat;fos-sur-mer
1613;st-paul-de-varax;saint-paul-de-varax
1614;chedde;passy
1615;paris-tolbiac;paris
1616;orgères;orgères-en-beauce
1617;romilly-la-puthenaye;romilly-la-puthenaye
1618;givors-canal;givors
1619;les aubrais-orléans;fleury-les-aubrais
1620;châtelaillon;châtelaillon-plage
1621;angers-maître-école;angers
1622;thourotte;thourotte
1623;chaugey;losne
1624;romanèche-thorins;romanèche-thorins
1625;lille-sud;lille
1626;marseille-blancarde;marseille
1627;bourbourg;bourbourg
1628;gorges;gorges
1629;rémilly;rémilly
1630;doulon;nantes
1631;épône-mézières;épône
1632;coudekerque-branche;coudekerque-branche
1633;corcy;corcy
1634;st-thégonnec;saint-thégonnec
1635;onnaing;onnaing
1636;coarraze-nay;coarraze
1637;marmagne-sous-creusot;marmagne
1638;formerie;formerie
1639;auvers-sur-oise;auvers-sur-oise
1640;avranches;avranches
1641;carry-le-rouet;carry-le-rouet
1642;gourdon;gourdon
1643;dieppe;dieppe
1644;phalempin;phalempin
1645;st-chamas;saint-chamas
1646;vaudagne;les houches
1647;pontmort;cellule
1648;lille-champ-de-mars;ronchin
1649;st-germain-du-puy;saint-germain-du-puy
1650;la redonne-ensuès;ensuès-la-redonne
1651;st-lothain;saint-lothain
1652;ludon;ludon-médoc
1653;revel-sorèze;revel
1654;auneau;roinville
1655;la bernerie-en-retz;la bernerie-en-retz
1656;gardonne;gardonne
1657;bully-grenay;grenay
1658;saône;saône
1659;aurillac;aurillac
1660;bruges;bruges
1661;lavannes-caurel;caurel
1662;verneuil-sur-avre;verneuil-sur-avre
1663;joeuf;joeuf
1664;fons-st-mamert;fons
1665;carpentras;carpentras
1666;abbaretz;abbaretz
1667;avoudrey;avoudrey
1668;lieusaint-moissy;lieusaint
1669;la madeleine;madeleine (la )
1670;st-pierre-le-viger-fontaine-le-dun;saint-pierre-le-viger
1671;châteaubriant;chateaubriant
1672;salindres;salindres
1673;la bassée;la bassée
1674;bréauté-beuzeville;bréauté
1675;groisy-thorens-la-caille;groisy
1676;st-antoine (mr);marseille
1677;st-maurice-de-beynost;saint-maurice-de-beynost
1678;laragne;laragne-montéglin
1679;clermont-la pardieu;clermont-ferrand
1680;givors;givors
1681;campagnac-st-geniez;campagnac
1682;thiviers;thiviers
1683;boulogne-tintelleries;boulogne-sur-mer
1684;st-blaise-la-roche-poutay;saint-blaise-la-roche
1685;st-césaire;nimes
1686;combs-la-ville-quincy;combs-la-ville
1687;nieul;nieul
1688;marquixanes;marquixanes
1689;st-égrève-st-robert;saint-egreve
1690;mouroux;mouroux
1691;sully-sur-loire;sully-sur-loire
1692;buzy (meuse);buzy-darmont
1693;chantenay-st-imbert;chantenay-saint-imbert
1694;sallaumines;sallaumines
1695;juziers;juziers
1696;clères;beautot
1697;conflans-ste-honorine;conflans-sainte-honorine
1698;brétigny;bretigny-sur-orge
1699;aigrefeuille-le thou;le thou
1700;roquesérière;buzet-sur-tarn
1701;montrabé;montrabé
1702;st-germain-en-laye-bel-air-fourqueux;saint-germain-en-laye
1703;prissé-la-charrière;prissé-la-charrière
1704;port-st-louis-du-rhône;port-saint-louis-du-rhone
1705;survilliers-fosses;fosses
1706;val-de-vesle;val-de-vesle
1707;gravenchon-port-jérome;notre-dame-de-gravenchon
1708;vias;vias
1709;champagné;champagné
1710;castelnau-d'estrétefonds;castelnau-d'estrétefonds
1711;folligny;folligny
1712;marly-les-valenciennes;marly
1713;anor;anor
